customer_id,first_name,last_name,email,city,customer_segment,signup_date
1,Patricia,Mwangi,patricia.mwangi1@example.com,Eldoret,Consumer,2025-01-29
2,Faith,Kiptoo,faith.kiptoo2@example.com,Mombasa,Small Business,2025-01-24
3,Irene,Otieno,irene.otieno3@example.com,Thika,Consumer,2024-08-27
4,James,Otieno,james.otieno4@example.com,Nakuru,Small Business,2023-08-12
5,Esther,Mwangi,esther.mwangi5@example.com,Nakuru,Small Business,2024-07-28
6,Irene,Achieng,irene.achieng6@example.com,Nyeri,Small Business,2023-08-14
7,Kevin,Mwangi,kevin.mwangi7@example.com,Kisumu,Small Business,2025-02-16
8,Jane,Maina,jane.maina8@example.com,Kisumu,Consumer,2023-10-12
9,David,Ochieng,david.ochieng9@example.com,Thika,Consumer,2023-04-05
10,Anne,Kipchoge,anne.kipchoge10@example.com,Eldoret,Consumer,2024-09-10
11,Michael,Koech,michael.koech11@example.com,Thika,Consumer,2023-05-08
12,Irene,Onyango,irene.onyango12@example.com,Naivasha,Corporate,2025-04-29
13,Joseph,Njoroge,joseph.njoroge13@example.com,Mombasa,Consumer,2024-12-22
14,Faith,Onyango,faith.onyango14@example.com,Nakuru,Consumer,2023-03-23
15,Peter,Kariuki,peter.kariuki15@example.com,Meru,Consumer,2024-04-09
16,Anne,Kipchoge,anne.kipchoge16@example.com,Eldoret,Small Business,2023-08-03
17,John,Mbugua,john.mbugua17@example.com,Kisumu,Small Business,2024-10-12
18,Faith,Wanjiku,faith.wanjiku18@example.com,Thika,Corporate,2024-04-18
19,Irene,Mutua,irene.mutua19@example.com,Meru,Consumer,2024-12-02
20,Faith,Kamau,faith.kamau20@example.com,Meru,Corporate,2025-04-04
21,Kevin,Otieno,kevin.otieno21@example.com,Naivasha,Small Business,2023-08-05
22,David,Njoroge,david.njoroge22@example.com,Nyeri,Corporate,2024-11-02
23,Michael,Kiptoo,michael.kiptoo23@example.com,Kisumu,Consumer,2023-09-29
24,Irene,Koech,irene.koech24@example.com,Naivasha,Corporate,2023-09-27
25,Joseph,Kimani,joseph.kimani25@example.com,Nakuru,Consumer,2024-01-06
26,Samuel,Muriuki,samuel.muriuki26@example.com,Nairobi,Consumer,2023-04-04
27,Daniel,Wanjiku,daniel.wanjiku27@example.com,Thika,Small Business,2025-03-22
28,John,Kimani,john.kimani28@example.com,Naivasha,Corporate,2024-01-26
29,Samuel,Kariuki,samuel.kariuki29@example.com,Machakos,Consumer,2025-09-21
30,Patricia,Koech,patricia.koech30@example.com,Eldoret,Small Business,2025-02-07
31,David,Ochieng,david.ochieng31@example.com,Thika,Consumer,2023-10-28
32,Michael,Mwangi,michael.mwangi32@example.com,Eldoret,Small Business,2025-09-03
33,Grace,Odhiambo,grace.odhiambo33@example.com,Mombasa,Small Business,2025-07-23
34,Mercy,Odhiambo,mercy.odhiambo34@example.com,Nakuru,Consumer,2024-09-15
35,Anne,Wanjiku,anne.wanjiku35@example.com,Machakos,Consumer,2024-07-06
36,Esther,Maina,esther.maina36@example.com,Nairobi,Consumer,2024-05-15
37,Anne,Onyango,anne.onyango37@example.com,Nairobi,Consumer,2023-09-03
38,Joseph,Otieno,joseph.otieno38@example.com,Nyeri,Consumer,2023-03-29
39,Irene,Kiptoo,irene.kiptoo39@example.com,Nyeri,Small Business,2023-05-12
40,Grace,Kariuki,grace.kariuki40@example.com,Naivasha,Corporate,2024-06-24
41,Brian,Koech,brian.koech41@example.com,Nakuru,Small Business,2025-02-12
42,Mercy,Kimani,mercy.kimani42@example.com,Meru,Corporate,2024-11-18
43,Samuel,Wambui,samuel.wambui43@example.com,Nakuru,Consumer,2023-05-04
44,John,Maina,john.maina44@example.com,Naivasha,Small Business,2023-01-22
45,Faith,Chebet,faith.chebet45@example.com,Nairobi,Consumer,2023-08-14
46,Mary,Mutua,mary.mutua46@example.com,Nairobi,Corporate,2023-03-11
47,John,Odhiambo,john.odhiambo47@example.com,Eldoret,Small Business,2023-09-01
48,Lucy,Njoroge,lucy.njoroge48@example.com,Kisumu,Small Business,2024-07-06
49,Joseph,Chebet,joseph.chebet49@example.com,Nakuru,Corporate,2024-04-29
50,Jane,Njoroge,jane.njoroge50@example.com,Mombasa,Small Business,2023-04-07
51,Jane,Kipchoge,jane.kipchoge51@example.com,Thika,Corporate,2024-03-09
52,Mary,Ochieng,mary.ochieng52@example.com,Thika,Small Business,2023-03-04
53,David,Ochieng,david.ochieng53@example.com,Nakuru,Consumer,2023-09-12
54,Irene,Wambui,irene.wambui54@example.com,Thika,Consumer,2023-05-24
55,Kevin,Wambui,kevin.wambui55@example.com,Mombasa,Corporate,2023-09-13
56,Irene,Ochieng,irene.ochieng56@example.com,Machakos,Consumer,2023-02-21
57,John,Mutua,john.mutua57@example.com,Thika,Corporate,2023-06-20
58,Lucy,Njoroge,lucy.njoroge58@example.com,Thika,Consumer,2025-06-04
59,Grace,Kimani,grace.kimani59@example.com,Thika,Corporate,2023-01-03
60,Michael,Onyango,michael.onyango60@example.com,Machakos,Small Business,2024-03-09
61,Lucy,Kiptoo,lucy.kiptoo61@example.com,Eldoret,Consumer,2023-07-14
62,Mary,Chebet,mary.chebet62@example.com,Machakos,Consumer,2025-01-23
63,David,Kamau,david.kamau63@example.com,Naivasha,Corporate,2023-02-21
64,Samuel,Odhiambo,samuel.odhiambo64@example.com,Nairobi,Small Business,2023-06-11
65,John,Wanjiku,john.wanjiku65@example.com,Naivasha,Consumer,2023-03-12
66,Faith,Kimani,faith.kimani66@example.com,Naivasha,Consumer,2023-05-03
67,Joseph,Mbugua,joseph.mbugua67@example.com,Naivasha,Consumer,2023-02-10
68,Jane,Chebet,jane.chebet68@example.com,Machakos,Corporate,2024-08-01
69,Kevin,Njoroge,kevin.njoroge69@example.com,Meru,Consumer,2024-11-16
70,Kevin,Kimani,kevin.kimani70@example.com,Eldoret,Corporate,2023-05-15
71,David,Otieno,david.otieno71@example.com,Nyeri,Small Business,2023-01-10
72,Joseph,Ochieng,joseph.ochieng72@example.com,Machakos,Consumer,2023-03-17
73,Samuel,Kariuki,samuel.kariuki73@example.com,Meru,Consumer,2023-05-16
74,Faith,Kipchoge,faith.kipchoge74@example.com,Kisumu,Corporate,2023-10-19
75,Irene,Onyango,irene.onyango75@example.com,Machakos,Consumer,2024-09-18
76,Irene,Onyango,irene.onyango76@example.com,Mombasa,Consumer,2025-08-12
77,Kevin,Ochieng,kevin.ochieng77@example.com,Mombasa,Small Business,2025-06-30
78,Irene,Kiptoo,irene.kiptoo78@example.com,Eldoret,Small Business,2023-10-06
79,Brian,Maina,brian.maina79@example.com,Eldoret,Small Business,2023-07-28
80,Lucy,Kariuki,lucy.kariuki80@example.com,Nairobi,Consumer,2025-07-16
81,Jane,Kariuki,jane.kariuki81@example.com,Nairobi,Corporate,2023-02-15
82,Daniel,Kariuki,daniel.kariuki82@example.com,Nyeri,Small Business,2023-06-15
83,Jane,Koech,jane.koech83@example.com,Mombasa,Consumer,2023-01-10
84,Daniel,Koech,daniel.koech84@example.com,Meru,Small Business,2023-02-06
85,Irene,Kiptoo,irene.kiptoo85@example.com,Kisumu,Consumer,2024-03-16
86,Mercy,Kipchoge,mercy.kipchoge86@example.com,Nairobi,Corporate,2025-07-09
87,Brian,Mutua,brian.mutua87@example.com,Mombasa,Corporate,2024-11-13
88,Irene,Achieng,irene.achieng88@example.com,Naivasha,Small Business,2025-09-24
89,Daniel,Mutua,daniel.mutua89@example.com,Kisumu,Consumer,2025-06-04
