employee_id,first_name,last_name,department,salary,hire_date
1,Brian,Kamau,HR,68455,2023-08-04
2,Grace,Otieno,Sales,90000,2023-07-14
3,Joseph,Kamau,HR,144791,2022-02-23
4,John,Kimani,Operations,168892,2023-11-10
5,Patricia,Mwangi,IT,93663,2021-10-19
6,Jane,Ochieng,Operations,118224,2022-10-10
7,Irene,Otieno,Operations,88826,2021-08-16
8,Kevin,Onyango,Finance,164219,2021-01-13
9,Daniel,Mutua,IT,59101,2023-04-14
10,Grace,Kipchoge,Finance,79536,2022-08-24
11,James,Kiptoo,IT,149152,2021-07-10
12,Joseph,Kariuki,Sales,101275,2022-01-06
13,Joseph,Kariuki,IT,49461,2021-10-18
14,Lucy,Wanjiku,Operations,161936,2025-02-28
15,Brian,Wanjiku,Operations,50925,2024-06-17
16,David,Ochieng,Finance,137568,2024-08-06
17,Jane,Otieno,HR,168292,2021-09-25
18,Irene,Mwangi,HR,123671,2023-08-12
19,Anne,Kipchoge,Marketing,115870,2021-10-02
20,Patricia,Kimani,Sales,136948,2024-01-12
21,Patricia,Chebet,HR,72726,2021-09-27
22,Irene,Chebet,Sales,128799,2021-08-15
23,Irene,Kimani,HR,157687,2021-12-16
24,Kevin,Muriuki,Marketing,153429,2022-08-08
25,Jane,Kiptoo,Finance,179662,2023-05-27
26,Mary,Mwangi,Marketing,144449,2023-08-08
27,Mercy,Wambui,IT,115578,2023-12-13
28,Faith,Wambui,HR,179000,2021-02-18
29,Joseph,Ochieng,Marketing,68218,2024-02-16
30,Mercy,Mbugua,Marketing,173632,2021-03-08
31,Jane,Onyango,Sales,67479,2021-09-25
32,Joseph,Odhiambo,Finance,150818,2021-04-14
33,Brian,Maina,Finance,78517,2023-03-16
34,Samuel,Achieng,IT,115520,2022-07-25
35,Samuel,Wanjiku,Sales,55242,2023-07-09
36,David,Kariuki,Operations,152536,2022-04-04
37,James,Wanjiku,Sales,83806,2022-01-19
38,Lucy,Kiptoo,Sales,97245,2021-12-07
39,James,Njoroge,Finance,131206,2023-01-06
40,James,Mwangi,Marketing,60980,2021-01-05
